table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName,dpID,site,year
sls_soilChemistry,siteID,NEON site code,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,plotID,Plot identifier (NEON site code_XXX),string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,startDate,The start date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,collectDate,Date of the collection event,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,sampleID,Identifier for sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,sampleCode,Barcode of a sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,cnSampleID,Identifier for a carbon-nitrogen sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,cnSampleCode,Barcode of a carbon-nitrogen sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,sampleType,Type of sample,string,NA,basic,LOV,N,bgc.sampleType,DP1.10086.001,HARV,2019
sls_soilChemistry,acidTreatment,Indicator for whether a sample has been acidified to remove carbonate prior to analysis,string,NA,basic,LOV,Y,Yes or No choice,DP1.10086.001,HARV,2019
sls_soilChemistry,co2Trapped,Indicator for whether carbon dioxide was trapped prior to analysis; used for measuring nitrogen in high C:N samples,string,NA,basic,LOV,Y,Yes or No choice,DP1.10086.001,HARV,2019
sls_soilChemistry,d15N,"Measure of the ratio of 15N:14N in a sample, relative to atmospheric N2",real,permill,basic,*.#(round),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,organicd13C,"Measure of the ratio of 13C:12C in soil organic carbon, relative to Vienna Pee Dee Belemnite",real,permill,basic,*.#(round),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,nitrogenPercent,Percent nitrogen in a sample on a dry weight basis,real,percent,basic,*.##(round),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,organicCPercent,Percent organic carbon in a sample on a dry weight basis,real,percent,basic,*.##(round),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,CNratio,Ratio of carbon to nitrogen concentration in a sample on a dry weight basis,real,NA,basic,*.#(round),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,cnIsotopeQF,Quality flag for stable isotope values outside the calibration range,string,NA,basic,LOV,N,bgc.cnIsotopeQF,DP1.10086.001,HARV,2019
sls_soilChemistry,cnPercentQF,Quality flag for concentration values outside the calibration range,string,NA,basic,LOV,N,bgc.cnPercentQF,DP1.10086.001,HARV,2019
sls_soilChemistry,isotopeAccuracyQF,Quality flag for accuracy of stable isotope values of QA materials associated with the run,string,NA,basic,LOV,N,bgc.isotopeAccuracyQF,DP1.10086.001,HARV,2019
sls_soilChemistry,percentAccuracyQF,Quality flag for accuracy of percent concentration values of QA materials associated with the run,string,NA,basic,LOV,N,bgc.percentAccuracyQF,DP1.10086.001,HARV,2019
sls_soilChemistry,analyticalRepNumber,Number of the analytical replicate,unsigned integer,number,basic,integer,Y,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,testMethod,Method used to conduct test,string,NA,basic,LOV,N,bgc.testMethod,DP1.10086.001,HARV,2019
sls_soilChemistry,instrument,Type of instrument used for the analysis,string,NA,basic,LOV,N,bgc.instrument,DP1.10086.001,HARV,2019
sls_soilChemistry,analyzedBy,Name of lab personnel analyzing sample,string,NA,basic,obfuscate,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,reviewedBy,Name of lab personnel who reviewed the data prior to submission,string,NA,basic,obfuscate,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,dataQF,Data quality flag,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilCoreCollection,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilCoreCollection,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilCoreCollection,siteID,NEON site code,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
